,,weekday,holiday,rush hour,accident,construction,match,concert,festival,weather,temperature,humidity,precipitation,wind-speed,wind-direction,solar-radiation,Ginza-Line・inbound,Ginza-Line・outbound,Chiyoda-Line・inbound,Chiyoda-Line・outbound,Nanboku-Line・inbound,Nanboku-Line・outbound,Marunouchi-Line・inbound,Marunouchi-Line・outbound,delay
,11:00~12:00,1,0,0,0,1,0,0,0,2,26.1,74,0,2.2,1,0.39,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,2,27.4,67,0,3.5,3,1.38,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,2,26.9,72,0,3,1,1.4,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,2,29.3,62,0,3.2,2,2.26,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,2,29.8,63,0,5,2,1.95,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,1,0,0,0,2,28.4,63,0,4,3,1.48,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,1,0,0,0,2,27.4,69,0,4.3,3,1.12,2,2,2,2,4,4,3,3,0
,18:00~19:00,1,0,1,0,0,1,0,0,1,26.5,68,0,3.8,2,0.59,3,3,3,3,5,4,3,3,0
,19:00~20:00,1,0,1,0,0,1,0,0,1,25.5,72,0,3.1,3,0.14,2,2,2,2,5,4,3,3,0
,20:00~21:00,1,0,0,0,0,1,0,0,1,24.7,77,0,3.8,3,0,2,2,2,2,5,4,3,3,0
,21:00~22:00,1,0,0,0,0,1,0,0,1,24.2,79,0,3.9,3,0,2,2,2,2,4,3,3,3,0
,22:00~23:00,1,0,0,0,0,0,0,0,1,23.9,80,0,3.7,2,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,0,0,0,0,0,1,23.7,80,0,3.8,2,0,1,1,1,1,2,1,1,1,0
2022.07.08,0:00~1:00,1,0,0,0,0,0,0,0,1,23.1,83,0,2.5,3,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,1,23.7,80,0,2.6,2,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,1,22.9,84,0,1.6,15,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,1,22.8,85,0,1.6,14,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,1,22.9,83,0,2.1,14,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,1,23.4,80,0,2.2,14,0.01,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,24.2,76,0,1.6,15,0.24,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,25.6,65,0,1.9,15,0.93,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,2,26.3,61,0,3.3,1,1.23,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,1,1,0,0,0,2,27.2,57,0,3.6,1,1.89,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,1,1,0,0,0,2,27.2,60,0,2.2,1,1.26,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,1,1,0,0,0,2,28.4,59,0,1.8,2,1.49,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,1,1,0,0,0,1,28.8,57,0,2.7,15,1.92,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,1,1,0,0,0,1,29.2,59,0,3.1,1,2.05,2,2,2,2,3,2,2,2,1
,14:00~15:00,1,0,0,1,1,0,0,0,1,29.8,56,0,3,15,2.12,2,2,2,2,3,2,2,2,1
,15:00~16:00,1,0,0,1,1,0,0,0,1,29.6,53,0,3,0,1.65,2,2,2,2,3,2,2,2,1
,16:00~17:00,1,0,0,1,1,0,0,0,1,29.5,57,0,3.1,4,1.24,2,2,2,2,3,3,3,3,1
,17:00~18:00,1,0,0,1,1,0,0,0,1,28.6,58,0,3.4,4,1.44,2,2,2,2,4,4,3,3,1
,18:00~19:00,1,0,1,1,0,1,0,0,1,26.9,61,0,2.7,2,0.65,3,3,3,3,5,4,3,3,1
,19:00~20:00,1,0,1,1,0,1,0,0,1,25.7,66,0,4.4,4,0.06,2,2,2,2,5,4,3,3,1
,20:00~21:00,1,0,0,1,0,1,0,0,1,25.1,66,0,3.8,4,0,2,2,2,2,5,4,3,3,1
,21:00~22:00,1,0,0,1,0,1,0,0,2,24.4,69,0,2.7,3,0,2,2,2,2,4,3,3,3,0
,22:00~23:00,1,0,0,1,0,0,0,0,2,24.6,69,0,2.6,3,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,1,0,0,0,0,2,24.2,71,0,1.7,0,0,1,1,1,1,2,1,1,1,0
2022.07.09,0:00~1:00,0,1,0,0,0,0,0,0,2,23.9,73,0,1.3,0,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,1,23.7,72,0,2.4,15,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,1,24,73,0,1.4,0,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,0,1,0,0,0,0,0,0,1,22.9,72,0,2.3,0,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,1,22,77,0,1.3,15,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,1,22.3,77,0,2.2,15,0.04,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,1,23,75,0,2.2,15,0.55,2,2,2,2,4,3,3,3,0
,7:00~8:00,0,1,0,0,0,0,0,0,1,24.4,69,0,1.5,0,0.92,3,3,4,4,4,3,3,3,0
,8:00~9:00,0,1,0,0,0,0,0,0,1,25.4,68,0,1,12,1.59,4,4,5,5,4,3,3,3,0
,9:00~10:00,0,1,0,0,1,0,0,0,1,27.7,60,0,2.3,13,2.27,3,3,4,4,3,3,3,2,0
,10:00~11:00,0,1,0,0,1,0,0,0,1,29.3,59,0,1.7,14,2.59,2,2,3,3,3,2,2,2,0
,11:00~12:00,0,1,0,0,1,0,0,0,1,30.1,51,0,2.3,3,3.19,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,2,30,52,0,2.5,7,2.74,3,3,3,3,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,2,30.3,53,0,2.7,7,2.22,4,4,4,4,4,4,3,3,0
,14:00~15:00,0,1,0,0,1,1,0,0,2,30.8,51,0,5.3,7,2.99,4,4,4,4,5,4,3,3,0
,15:00~16:00,0,1,0,0,1,1,0,0,1,31.5,52,0,5.2,8,2.68,4,4,4,4,5,4,3,3,0
,16:00~17:00,0,1,0,0,1,1,0,0,1,29.7,55,0,4.6,8,2.17,4,4,4,4,5,4,3,3,0
,17:00~18:00,0,1,0,0,1,1,0,0,1,27.6,67,0,4.7,7,0.92,4,4,4,4,5,4,3,3,0
,18:00~19:00,0,1,0,0,0,0,0,0,1,27.1,73,0,3.1,8,0.46,3,3,3,3,4,4,3,3,0
,19:00~20:00,0,1,0,0,0,0,0,0,1,26.4,80,0,3.7,7,0.13,2,2,2,2,3,3,3,3,0
,20:00~21:00,0,1,0,0,0,0,0,0,1,26.1,83,0,2.9,8,0,2,2,2,2,3,3,3,3,0
,21:00~22:00,0,1,0,0,0,0,0,0,1,25.9,82,0,3.3,8,0,2,2,2,2,3,3,3,3,0
,22:00~23:00,0,1,0,0,0,0,0,0,1,26,82,0,2.8,8,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,0,1,0,0,0,0,0,0,1,26.3,80,0,3.2,9,0,1,1,1,1,1,1,1,1,0
2022.07.10,0:00~1:00,0,1,0,0,0,0,0,0,1,26.1,80,0,3.7,9,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,2,26,81,0,2.7,8,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,2,26.4,78,0,3.2,9,0,0,0,0,0,0,0,0,0,0
