,,,,,,,,,,,,,,,,,,Mita-Line,,Oedo-Line,
,23:00~0:00,Y,N,N,N,N,N,N,N,sunny,26.7,87,0,2.7,south-southeast,0,,2,1,1,1
2022.07.02,0:00~1:00,N,Y,N,N,N,N,N,N,sunny,26.7,87,0,1,southeast0,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,sunny,26.3,87,0,1.8,south-southeast,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,sunny,26,87,0,1.1,south,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,sunny,25.7,89,0,0.7,south-southeast,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,sunny,26.4,88,0,1.4,southeast,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,sunny,25.6,93,0,1.6,south-southeast,0.02,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,sunny,27.1,87,0,0.7,west,0.34,,4,2,3,2
,7:00~8:00,N,Y,N,N,N,N,N,N,sunny,29,76,0,1.2,south,0.92,,4,2,3,2
,8:00~9:00,N,Y,N,N,N,N,N,N,sunny,31.4,68,0,1.5,northeast,1.6,,4,2,3,2
,9:00~10:00,N,Y,N,N,Y,N,N,N,sunny,32,60,0,2.2,east-northeast,2.44,,5,2,4,2
,10:00~11:00,N,Y,N,N,Y,N,N,N,sunny,32.5,64,0,4,south-southeast,2.61,,4,2,2,2
,11:00~12:00,N,Y,N,N,Y,N,N,N,sunny,33.2,61,0,4.1,south-southeast,2.97,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,sunny,34,61,0,5.5,southeast,3.25,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,sunny,33.6,59,0,6,southeast,3.24,,3,2,2,2
,14:00~15:00,N,Y,N,N,Y,N,N,N,sunny,34.3,57,0,5.5,southeast,2.99,,3,2,2,2
,15:00~16:00,N,Y,N,N,Y,N,N,N,sunny,33,57,0,5.4,southeast,2.49,,3,2,2,2
,16:00~17:00,N,Y,N,N,Y,N,N,N,sunny,31.5,63,0,3.8,south-southeast,1.18,,3,2,2,2
,17:00~18:00,N,Y,N,N,Y,N,N,N,sunny,30.4,66,0,3.8,southeast,1.05,,4,3,4,3
,18:00~19:00,N,Y,N,N,N,N,Y,N,partly-cloudy,29.6,71,0,2.8,southeast,0.3,,5,4,4,4
,19:00~20:00,N,Y,N,N,N,N,Y,N,partly-cloudy,28.8,72,0,3.1,south-southeast,0.07,,5,4,4,4
,20:00~21:00,N,Y,N,N,N,N,Y,N,partly-cloudy,27.9,77,0,2.8,south-southeast,0,,4,3,3,3
,21:00~22:00,N,Y,N,N,N,N,N,N,sunny,27.9,69,0,3.2,south-southeast,0,,3,2,2,2
,22:00~23:00,N,Y,N,N,N,N,N,N,sunny,27.5,71,0,2.5,south,0,,2,2,2,2
,23:00~0:00,N,Y,N,N,N,N,N,N,sunny,27.6,75,0,2.8,south,0,,2,1,1,1
2022.07.03,0:00~1:00,N,Y,N,N,N,N,N,N,sunny,27.1,78,0,2.4,south-southwest,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,sunny,26.3,83,0,1.2,west-southewest,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,sunny,25.8,86,0,1.3,south-southwest,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,sunny,25.4,89,0,0.7,east-southwest,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,sunny,25.4,92,0,1.6,south-southwest,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,sunny,26.6,88,0,1.1,south,0,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,cloudy,27.1,86,0,1.1,west,0.2,,4,2,3,2
,7:00~8:00,N,Y,N,N,N,N,N,N,cloudy,29,75,0,1.3,west,0.1,,4,2,3,2
,8:00~9:00,N,Y,N,N,N,N,N,N,cloudy,30.7,69,0,1.2,west-southwest,0.4,,4,2,3,2
,9:00~10:00,N,Y,N,N,N,N,N,N,rainy,30.9,67,0.01,1.5,west-southwest,0.3,,5,2,4,2
,10:00~11:00,N,Y,N,N,N,N,N,N,rainy,29.8,77,0.01,1.5,south-southweast,0,,4,2,2,2
,11:00~12:00,N,Y,N,N,N,N,N,N,rainy,32.3,66,0.01,3.1,south-southweast,0.5,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,cloudy,34.2,57,0,3.7,southeast,0.9,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,cloudy,33.3,61,0,3.2,south-southwest,0.3,,3,2,2,2
,14:00~15:00,N,Y,N,N,Y,N,N,N,cloudy,30.7,73,0,2.2,south-southwest,0,,3,2,2,2
,15:00~16:00,N,Y,N,N,Y,N,N,N,cloudy,31.2,67,0,1.5,south-southwest,0,,3,2,2,2
,16:00~17:00,N,Y,N,N,Y,N,N,N,cloudy,30.6,64,0,2.7,north-northeast,0,,3,2,2,2
,17:00~18:00,N,Y,N,N,Y,N,N,N,cloudy,29.4,70,0,1.3,northwest,0,,4,3,4,3
,18:00~19:00,N,Y,N,N,N,N,Y,N,cloudy,28.5,74,0,1.9,south,0,,5,4,4,4
,19:00~20:00,N,Y,N,N,N,N,Y,N,cloudy,29.1,73,0,3.9,southeast,0,,5,4,4,4
,20:00~21:00,N,Y,N,N,N,N,Y,N,cloudy,28.6,65,0,4.4,south-southwest,0,,4,3,3,3
,21:00~22:00,N,Y,N,N,N,N,N,N,cloudy,27.5,71,0,4.2,south,0,,3,2,2,2
,22:00~23:00,N,Y,N,N,N,N,N,N,cloudy,27.5,71,0,3.5,southwest,0,,2,2,2,2
,23:00~0:00,N,Y,N,N,N,N,N,N,cloudy,27.3,72,0,3.8,south-southwest,0,,2,1,1,1
2022.07.04,0:00~1:00,Y,N,N,N,N,N,N,N,cloudy,27,73,0,1.9,southwest,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,27.4,72,0,2.2,west-southwest,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,26.9,75,0,1.8,south-southwest,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,26.5,79,0,1.4,west,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,26.5,78,0,1.3,southwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,26.8,77,0,1.7,south-southwest,0.03,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,26.5,82,0,0.8,south-southwest,0.14,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,26.4,84,0,1.5,west-southwest,0.35,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,25.2,94,0,1.8,west-northwest,0.18,,5,3,4,3
,9:00~10:00,Y,N,N,N,N,N,N,N,rainy,24.4,98,1.5,0.6,northeast,0.14,,5,3,4,2
,10:00~11:00,Y,N,N,N,N,N,N,N,rainy,25,98,2,1.8,west-southwest,0.22,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,rainy,26.3,98,0,1.3,east,0.93,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,rainy,26.4,91,0,2.1,south-southwest,0.95,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,rainy,26.5,87,0,2.1,southwest,1.03,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,rainy,27.6,80,0,2.6,south-southeast,1.04,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,cloudy,28.8,72,0,1.8,south,0.97,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,cloudy,28.9,73,0,2.8,southwest,1.04,,3,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,cloudy,28.3,71,0,2,south-southwest,0.97,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,N,Y,N,cloudy,27.2,76,0,2.2,south,1.04,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,N,Y,N,cloudy,26.9,76,0,3.3,south-southwest,0.61,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,N,Y,N,cloudy,26.4,75,0,2.8,south-southwest,0.29,,4,3,3,3
,21:00~22:00,Y,N,N,N,N,N,N,N,sunny,25.7,76,0,1.9,south,0.1,,3,2,2,2
,22:00~23:00,Y,N,N,N,N,N,N,N,sunny,25.7,76,0,2,south,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,sunny,25.9,76,0,2.8,south-southwest,0,,2,1,1,1
2022.07.05,0:00~1:00,Y,N,N,N,N,N,N,N,sunny,24.4,82,0,1.2,southwest,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,24.2,83,0,0.8,southwest,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,24.4,83,0,0.7,south-southwest,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,24.5,87,0,1.6,southwest,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,25.1,81,0,2.2,south-southwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,24.5,82,0,1.3,west-southwest,0.03,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,25.2,82,0,2.6,south,0.22,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,27,76,0,2.7,south-southwest,0.73,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,27.7,68,0,2.3,south-southwest,1.44,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,29.6,68,0,2.3,south-southwest,2.13,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,sunny,29.6,62,0,2.7,southwest,2.34,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,sunny,31.9,59,0,4.3,south-southwest,2.61,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,sunny,30.9,60,0,5.5,south,2.31,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,cloudy,27.9,69,0,7.1,south-southwest,1.91,,3,2,2,2
,14:00~15:00,Y,N,N,N,N,N,N,N,cloudy,26.9,77,0.01,6.8,south,0.99,,3,2,2,2
,15:00~16:00,Y,N,N,N,N,N,N,N,cloudy,27.3,77,0.01,6.1,south,1.32,,3,2,2,2
,16:00~17:00,Y,N,N,N,N,N,N,N,cloudy,26.7,81,0.01,4.3,south,0.45,,3,3,3,3
,17:00~18:00,Y,N,N,N,N,N,N,N,cloudy,25.1,89,0.01,3.7,south,0.25,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,Y,N,N,cloudy,25.3,87,0.01,4.5,south,0.13,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,Y,N,N,rainy,24.3,94,0.01,3.9,south,0.01,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,Y,N,N,rainy,24.2,94,0.5,4.7,south-southeast,0,,4,3,3,3
,21:00~22:00,Y,N,N,N,N,N,N,N,rainy,24.5,93,0.01,4.5,south,0,,3,2,2,2
,22:00~23:00,Y,N,N,N,N,N,N,N,rainy,24.7,92,0.01,2.1,east,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,rainy,24.3,94,0.01,2.3,east,0,,2,1,1,1
2022.07.06,0:00~1:00,Y,N,N,N,N,N,N,N,rainy,23.9,99,1.5,2.2,northeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,23.8,98,0,3.1,north-northeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,23.9,97,0,3,north-northeast,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,23.9,96,0,2.7,north-northeast,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,23.8,97,0,2.4,north-northeast,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,23.7,97,0,2.7,north,0,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,24,96,0,2.2,north,0,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,24.8,89,0,2.2,north,0,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,25.7,85,0,1.5,north-northwest,0,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,26.8,78,0,2.6,north,0,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,cloudy,28.6,69,0,4.9,north-northeast,0.1,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,cloudy,29,69,0,3.3,north-northeast,0.1,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,cloudy,29.5,66,0,2.5,north,0.4,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,cloudy,29.5,65,0,5.3,north-northeast,0.1,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,cloudy,28.8,68,0,3.7,northeast,0,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,cloudy,28.2,73,0,2.2,northwest,0,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,cloudy,29.3,71,0,2.6,north,0,,3,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,cloudy,27.9,71,0,4.3,northeast,0,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,Y,N,N,cloudy,26.9,77,0,4.7,northeast,0.3,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,Y,N,N,cloudy,25.3,82,0,5,northeast,0,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,Y,N,N,cloudy,24.8,84,0,4.4,northeast,0,,5,4,4,4
,21:00~22:00,Y,N,N,N,N,Y,N,N,rainy,24.2,86,0,3.3,northeast,0,,3,2,2,2
,22:00~23:00,Y,N,N,N,N,N,N,N,rainy,23.6,89,0,4,north-northeast,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,rainy,24.1,84,0,2.8,north-northeast,0,,2,1,1,1
2022.07.07,0:00~1:00,Y,N,N,N,N,N,N,N,rainy,24.1,84,0,3.2,northeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,23.8,85,0,3.4,north-northeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,23.2,91,0,1.7,north,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,23.5,90,0,1.3,north-northeast,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,23.8,88,0,2.2,north,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,23.9,88,0,1.9,north,0.01,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,24.3,85,0,1.9,north,0.13,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,24.7,83,0,1.2,north,0.36,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,25.8,78,0,3.9,northeast,0.76,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,25.5,76,0,3.4,north-northeast,0.65,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,cloudy,25.9,74,0,2.1,north-northeast,0.67,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,cloudy,26.1,74,0,2.2,north-northeast,0.39,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,cloudy,27.4,67,0,3.5,east-northeast,1.38,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,cloudy,26.9,72,0,3,north-northeast,1.4,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,cloudy,29.3,62,0,3.2,north-east,2.26,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,cloudy,29.8,63,0,5,north-east,1.95,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,cloudy,28.4,63,0,4,east-northeast,1.48,,3,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,cloudy,27.4,69,0,4.3,east-northeast,1.12,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,Y,N,N,sunny,26.5,68,0,3.8,northeast,0.59,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,Y,N,N,sunny,25.5,72,0,3.1,east-northeast,0.14,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,Y,N,N,sunny,24.7,77,0,3.8,east-northeast,0,,5,4,4,4
,21:00~22:00,Y,N,N,N,N,Y,N,N,sunny,24.2,79,0,3.9,east-northeast,0,,4,3,3,3
,22:00~23:00,Y,N,N,N,N,N,N,N,sunny,23.9,80,0,3.7,northeast,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,sunny,23.7,80,0,3.8,northeast,0,,2,1,1,1
2022.07.08,0:00~1:00,Y,N,N,N,N,N,N,N,sunny,23.1,83,0,2.5,east-northeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,sunny,23.7,80,0,2.6,northeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,sunny,22.9,84,0,1.6,north-northwest,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,sunny,22.8,85,0,1.6,northwest,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,sunny,22.9,83,0,2.1,northwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,sunny,23.4,80,0,2.2,northwest,0.01,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,24.2,76,0,1.6,north-northwest,0.24,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,25.6,65,0,1.9,north-northwest,0.93,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,26.3,61,0,3.3,north-northeast,1.23,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,27.2,57,0,3.6,north-northeast,1.89,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,cloudy,27.2,60,0,2.2,north-northeast,1.26,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,cloudy,28.4,59,0,1.8,northeast,1.49,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,sunny,28.8,57,0,2.7,north-northwest,1.92,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,sunny,29.2,59,0,3.1,east-northeast,2.05,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,sunny,29.8,56,0,3,north-northwest,2.12,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,sunny,29.6,53,0,3,north,1.65,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,sunny,29.5,57,0,3.1,east,1.24,,3,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,sunny,28.6,58,0,3.4,east,1.44,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,Y,N,N,sunny,26.9,61,0,2.7,northeast,0.65,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,Y,N,N,sunny,25.7,66,0,4.4,east,0.06,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,Y,N,N,sunny,25.1,66,0,3.8,east,0,,5,4,4,4
,21:00~22:00,Y,N,N,N,N,Y,N,N,cloudy,24.4,69,0,2.7,east-northeast,0,,4,3,3,3
,22:00~23:00,Y,N,N,N,N,N,N,N,cloudy,24.6,69,0,2.6,north-northeast,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,cloudy,24.2,71,0,1.7,north,0,,2,1,1,1
2022.07.09,0:00~1:00,N,Y,N,N,N,N,N,N,cloudy,23.9,73,0,1.3,north,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,sunny,23.7,72,0,2.4,north-northwest,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,sunny,24,73,0,1.4,north,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,sunny,22.9,72,0,2.3,north,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,sunny,22,77,0,1.3,north-northwest,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,sunny,22.3,77,0,2.2,north-northwest,0,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,sunny,23,75,0,2.2,west-northwest,0.9,,4,3,3,3
,7:00~8:00,N,Y,N,N,N,N,N,N,sunny,24.4,69,0,1.5,north,1,,4,3,3,3
,8:00~9:00,N,Y,N,N,N,N,N,N,sunny,25.4,68,0,1,west,1,,4,3,3,3
,9:00~10:00,N,Y,N,N,Y,N,N,N,sunny,27.7,60,0,2.3,west-northwest,1,,3,3,3,2
,10:00~11:00,N,Y,N,N,Y,N,N,N,sunny,29.3,59,0,1.7,northeast,1,,3,2,2,2
,11:00~12:00,N,Y,N,N,Y,N,N,N,sunny,30.1,51,0,2.3,east-northeast,1,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,cloudy,30,52,0,2.5,south-northeast,0.6,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,cloudy,30.3,53,0,2.7,south-northeast,0.5,,4,4,4,4
,14:00~15:00,N,Y,N,N,Y,Y,N,N,cloudy,30.8,51,0,5.3,south-northeast,1,,5,4,4,4
,15:00~16:00,N,Y,N,N,Y,Y,N,N,sunny,31.5,52,0,5.2,south,1,,5,4,4,4
,16:00~17:00,N,Y,N,N,Y,Y,N,N,sunny,29.7,55,0,4.6,south,1,,5,4,4,4
,17:00~18:00,N,Y,N,N,Y,Y,N,N,sunny,27.6,67,0,4.7,south-southwest,0.7,,5,4,4,4
,18:00~19:00,N,Y,N,N,N,N,N,N,sunny,27.1,73,0,3.1,south,0.1,,4,4,3,3
,19:00~20:00,N,Y,N,N,N,N,N,N,sunny,26.4,80,0,3.7,south-southeast,0,,3,3,3,3
,20:00~21:00,N,Y,N,N,N,N,N,N,sunny,26.1,83,0,2.9,south,0,,3,3,3,3
,21:00~22:00,N,Y,N,N,N,N,N,N,sunny,25.9,82,0,3.3,south,0,,3,3,3,3
,22:00~23:00,N,Y,N,N,N,N,N,N,sunny,26,82,0,2.8,south,0,,2,2,2,2
,23:00~0:00,N,Y,N,N,N,N,N,N,sunny,26.3,80,0,3.2,south-southwest,0,,1,1,1,1
2022.07.10,0:00~1:00,N,Y,N,N,N,N,N,N,sunny,26.1,80,0,3.7,south-southwest,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,cloudy,26,81,0,2.7,south,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,cloudy,26.4,78,0,3.2,south-southwest,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,cloudy,26,77,0,2.9,south,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,cloudy,25,83,0,2.6,south-southwest,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,cloudy,24.6,86,0,3.1,south-southwest,0.01,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,cloudy,25.5,79,0,5.2,south,0.1,,4,3,3,3
,7:00~8:00,N,Y,N,N,N,N,N,N,cloudy,25.7,79,0,4.1,south-southwest,0.27,,4,3,3,3
,8:00~9:00,N,Y,N,N,N,N,N,N,cloudy,25.9,79,0,3.9,south,0.38,,4,3,3,3
,9:00~10:00,N,Y,N,N,Y,N,N,N,cloudy,27.5,74,0,3.1,south,0.93,,3,3,3,2
,10:00~11:00,N,Y,N,N,Y,N,N,N,cloudy,28.8,74,0,4.8,south-southeast,1.9,,3,2,2,2
,11:00~12:00,N,Y,N,N,Y,N,N,N,cloudy,29.8,67,0,6.2,southeast,2.71,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,cloudy,30.2,66,0,5.7,southeast,2.51,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,cloudy,29.8,66,0,6.5,southeast,2.97,,4,4,4,4
,14:00~15:00,N,Y,N,N,Y,Y,N,N,cloudy,31.4,65,0,6.4,southeast,2.85,,5,4,4,4
,15:00~16:00,N,Y,N,N,Y,Y,N,N,sunny,30.2,61,0,6.4,south-southeast,2.6,,5,4,4,4
