Drying_days,roaster_time,roaster_temperature,coca_melting_temperature,coca_melting_time,coca_melting_rotate_speed,Sugar_Mixer_temperature,Sugar_Mixer_rotate_speed,Sugar_Mixer_time,Conching_time,conching_temperature,conching_rotate_speed,pump1_temperature,pump1_pressure,pump1_Flow_rate,melting_tank_temperature,melting_tank_time,pump2_temperature,pump2_pressure,pump2_Flow_rate,tempering_machine_temperature,tempering_machine_time,tempering_machine_rotate_speed,pump3_temperature,pump3_pressure,pump3_Flow_rate,moulding_machine_temperature,moulding_machine_time,sweetness,color,hardness,glossiness,shape,bitterness,passed,roaster_failure,Cocoa_Butter_Melting_Tank_failure,Sugar_Mixer_failure,Conching_failure,Pump1_failure,Melting_Tank_failure,Pump2_failure,Tempering_Machine_failure,Pump3_failure,moulding_machine_failure,
3,39,81,54,35,54,48,367,20,343,77,59,62,79,34,53,31,67,70,33,53,50,39,60,69,33,10,33,3,3,3,2,4,1,1,0,0,0,0,0,0,0,0,0,1,
3,41,79,48,37,48,46,437,20,233,59,60,58,50,31,47,29,57,66,31,49,43,42,58,63,31,8,29,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,
5,40,79,48,28,48,46,362,17,228,58,69,54,63,31,55,29,57,72,31,49,42,40,57,63,31,8,29,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
3,41,80,49,31,49,47,367,21,248,61,69,58,68,32,51,30,58,74,32,49,44,39,56,64,32,9,29,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,80,50,26,50,47,358,19,277,66,53,52,64,32,55,30,61,64,32,50,45,41,59,65,32,9,30,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,78,45,33,45,45,391,19,182,50,62,63,76,30,50,28,48,64,30,45,36,39,61,58,30,7,25,3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
6,40,83,55,29,55,50,369,20,360,80,56,67,61,34,55,33,76,61,35,57,58,43,64,75,35,12,37,2,4,4,2,3,2,1,0,0,0,0,0,0,0,0,0,0,
3,39,78,45,39,45,45,435,20,182,50,70,54,65,30,47,28,49,63,30,46,36,37,61,58,30,7,26,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,39,81,53,38,53,48,378,19,332,75,59,50,71,33,54,31,65,68,33,52,49,39,62,68,33,10,32,3,3,3,2,3,2,1,0,1,0,1,0,1,0,1,0,1,
6,40,81,54,32,54,48,355,19,333,76,58,63,63,33,52,31,65,72,33,52,49,44,58,68,33,10,32,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,80,50,30,50,47,446,21,264,64,63,70,75,32,52,30,60,67,32,50,45,41,61,65,32,9,30,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
6,41,78,46,34,46,45,423,19,190,52,54,55,51,30,54,28,52,71,30,47,39,35,57,60,30,7,27,3,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
4,40,82,55,28,55,49,418,18,356,79,68,68,52,34,51,32,70,74,34,54,53,40,60,71,34,11,34,2,3,3,2,4,1,1,0,0,1,0,0,0,0,1,0,1,
3,41,79,47,30,47,46,356,20,215,56,60,67,64,31,52,29,56,73,31,48,42,40,59,62,31,8,28,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,81,54,26,54,48,405,20,334,76,67,58,54,33,54,31,65,71,33,52,49,41,60,68,33,10,32,2,3,3,2,3,2,1,0,1,1,1,0,1,0,1,0,1,
4,40,79,46,34,46,46,387,21,206,54,58,63,62,31,55,29,55,70,31,48,41,42,58,62,31,8,28,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
4,39,81,53,29,53,48,357,21,324,74,54,64,76,33,53,31,64,80,33,52,48,37,62,68,33,10,32,3,3,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,
6,40,81,52,34,52,48,414,19,311,72,55,62,65,33,51,31,63,66,33,51,47,38,60,67,33,10,31,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
4,41,82,55,25,55,49,365,19,357,80,53,67,60,34,47,32,71,75,34,54,54,40,61,72,34,11,34,3,4,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,
3,40,79,47,25,47,46,381,20,213,56,61,61,63,31,48,29,55,70,31,48,41,35,62,62,31,8,28,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,40,80,50,26,50,47,380,20,270,65,54,63,52,32,49,30,60,75,32,50,45,41,60,65,32,9,30,3,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
5,41,80,50,32,50,47,360,20,265,64,56,53,79,32,46,30,60,64,32,50,45,40,61,65,32,9,30,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
5,42,82,55,28,55,49,353,19,355,79,61,64,55,34,51,32,69,75,34,54,53,39,59,71,34,11,34,3,3,3,2,3,2,1,0,1,0,1,0,1,0,1,0,1,
2,40,80,50,33,50,47,412,21,261,64,57,56,51,32,46,30,59,75,32,50,45,41,59,65,32,9,30,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
5,40,79,46,36,46,46,421,20,197,53,60,51,54,30,54,29,53,67,31,47,40,41,56,61,31,8,27,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
4,40,82,55,32,55,49,399,21,355,79,52,66,77,34,54,32,70,67,34,54,53,40,62,71,34,11,34,2,3,3,2,4,1,1,0,0,1,0,0,0,0,1,0,1,
5,41,80,49,27,49,47,394,19,250,62,57,52,70,32,52,30,59,76,32,49,44,40,62,64,32,9,29,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
6,39,80,52,32,52,47,371,19,303,70,69,63,58,33,45,30,62,69,32,51,47,39,57,66,32,9,31,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,
3,40,78,45,36,45,45,363,19,185,51,59,68,56,30,51,28,50,67,30,46,37,36,56,59,30,7,26,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,79,47,36,47,46,401,21,222,57,55,51,53,31,50,29,56,73,31,49,42,40,59,63,31,8,29,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
3,40,80,50,25,50,47,395,20,264,64,58,52,55,32,46,30,60,73,32,50,45,40,60,65,32,9,30,2,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
3,41,79,46,31,46,46,438,18,198,53,64,52,52,30,51,29,54,69,31,47,40,37,63,61,31,8,27,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,80,49,35,49,47,378,20,255,62,67,58,54,32,47,30,59,58,32,50,44,36,60,64,32,9,30,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,81,53,32,53,48,356,19,323,74,50,58,73,33,48,31,64,72,33,52,48,40,59,67,33,10,32,2,3,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,
4,41,80,48,30,48,47,384,20,237,59,59,67,71,31,55,30,58,67,32,49,43,41,62,64,32,9,29,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,40,81,53,30,53,48,350,19,320,73,64,58,70,33,52,31,64,71,33,52,48,39,56,67,33,10,32,3,3,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,
6,41,81,53,38,53,48,409,19,329,75,53,54,54,33,54,31,65,67,33,52,49,40,61,68,33,10,32,3,3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,
4,40,80,50,28,50,47,407,20,268,65,62,53,65,32,52,30,60,69,32,50,45,39,60,65,32,9,30,2,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,
6,42,80,49,35,49,47,432,20,246,61,50,54,77,31,45,30,58,71,32,49,44,41,57,64,32,9,29,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
2,41,80,51,27,51,47,416,22,289,68,65,52,78,32,53,30,61,67,32,51,46,41,59,66,32,9,31,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,
2,39,78,45,37,45,45,389,21,184,51,58,56,56,30,50,28,50,76,30,46,37,43,61,59,30,7,26,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
3,39,81,53,28,53,48,409,20,326,74,63,56,77,33,54,31,64,72,33,52,49,38,59,68,33,10,32,1,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,
3,41,80,49,34,49,47,393,20,244,61,59,62,51,31,54,30,58,68,32,49,44,44,60,64,32,9,29,2,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
5,40,81,53,31,53,48,446,21,325,74,60,54,65,33,54,31,64,66,33,52,48,42,58,68,33,10,32,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
6,40,79,48,32,48,46,444,20,229,58,68,61,76,31,53,29,57,70,31,49,43,41,57,63,31,8,29,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,81,54,30,54,48,399,20,335,76,67,67,78,33,52,31,65,68,33,52,49,41,62,68,33,10,32,3,3,3,2,4,1,1,0,0,0,0,0,0,0,0,0,1,
3,39,82,55,28,55,49,364,20,351,79,61,70,61,34,46,32,68,75,34,53,52,37,60,70,34,11,33,3,3,3,2,4,1,1,0,0,0,0,0,0,0,0,0,1,
4,40,81,53,33,53,48,425,19,320,73,63,53,58,33,46,31,64,66,33,52,48,38,63,67,33,10,32,2,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,80,52,27,52,47,405,20,303,70,55,69,70,33,55,30,62,73,32,51,47,39,64,66,32,9,31,2,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,
3,38,81,53,27,53,48,410,19,330,75,68,58,74,33,48,31,65,70,33,52,49,43,60,68,33,10,32,2,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
6,40,82,55,38,55,49,374,21,353,79,63,68,71,34,51,32,69,76,34,54,52,41,58,70,34,11,34,2,3,3,2,3,2,1,0,1,1,1,0,1,0,1,0,1,
2,40,81,52,33,52,48,436,21,307,71,67,55,68,33,53,31,63,70,33,51,47,39,59,67,33,10,31,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
4,41,79,46,38,46,46,425,21,193,52,53,59,52,30,54,29,53,70,31,47,39,39,57,61,31,8,27,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
6,39,80,50,31,50,47,385,20,277,66,67,69,65,32,47,30,60,72,32,50,45,43,58,65,32,9,30,2,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,41,82,55,36,55,49,400,22,352,79,52,59,78,34,45,32,69,66,34,53,52,37,58,70,34,11,33,3,3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,
2,41,80,49,36,49,47,402,21,255,63,66,69,52,32,49,30,59,73,32,50,44,41,59,64,32,9,30,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
3,41,80,49,39,49,47,448,19,255,63,52,51,73,32,55,30,59,72,32,50,44,42,59,64,32,9,30,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,
5,41,80,49,31,49,47,403,20,249,61,53,61,74,32,48,30,58,76,32,49,44,39,61,64,32,9,29,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,38,81,53,28,53,48,424,19,331,75,64,54,51,33,54,31,65,60,33,52,49,40,57,68,33,10,32,3,3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,
5,41,79,47,36,47,46,402,19,223,57,66,67,61,31,47,29,56,73,31,49,42,41,61,63,31,8,29,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,81,52,35,52,48,441,20,311,72,66,57,55,33,52,31,63,73,33,51,47,39,57,67,33,10,31,1,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,
5,41,80,49,33,49,47,440,20,258,63,70,57,68,32,46,30,59,67,32,50,44,40,58,64,32,9,30,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,79,46,31,46,46,414,20,201,54,63,55,51,30,49,29,54,78,31,48,40,40,60,61,31,8,28,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,79,47,34,47,46,447,20,220,57,67,59,64,31,51,29,56,64,31,48,42,39,61,63,31,8,28,3,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,
2,40,80,48,39,48,47,373,22,236,59,62,59,71,31,46,30,58,71,32,49,43,39,62,64,32,9,29,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,
5,41,79,47,34,47,46,400,20,224,57,53,62,59,31,46,29,57,73,31,49,42,44,58,63,31,8,29,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,80,49,27,49,47,408,20,248,61,64,67,78,32,46,30,58,73,32,49,44,41,61,64,32,9,29,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
3,41,81,53,32,53,48,371,21,325,74,51,59,78,33,49,31,64,64,33,52,48,40,62,68,33,10,32,3,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,
4,38,80,48,28,48,47,413,18,237,59,65,65,56,31,48,30,58,77,32,49,43,38,63,64,32,9,29,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,81,53,35,53,48,449,19,320,73,66,64,70,33,47,31,64,66,33,52,48,37,59,67,33,10,32,3,3,3,2,3,2,1,0,1,0,1,0,1,0,1,0,1,
5,41,79,48,30,48,46,397,19,231,59,64,70,60,31,52,29,57,72,31,49,43,40,59,63,31,8,29,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
6,40,83,55,31,55,50,407,20,359,80,54,57,74,34,53,33,73,66,35,55,56,41,63,73,35,12,35,3,4,4,2,3,2,1,0,0,0,0,0,0,0,0,0,0,
5,40,80,51,35,51,47,438,20,294,69,55,59,54,33,54,30,62,70,32,51,46,39,62,66,32,9,31,2,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
6,41,80,51,36,51,47,357,18,288,68,68,50,63,32,51,30,61,70,32,51,46,44,61,66,32,9,31,3,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,80,50,38,50,47,429,19,272,65,65,60,67,32,45,30,60,71,32,50,45,41,62,65,32,9,30,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,40,81,53,36,53,48,399,20,330,75,56,67,67,33,48,31,65,69,33,52,49,41,59,68,33,10,32,2,3,3,2,4,1,1,0,0,1,0,0,0,0,1,0,1,
3,41,79,47,29,47,46,430,20,216,56,64,54,50,31,54,29,56,67,31,48,42,42,59,62,31,8,28,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,78,45,37,45,45,415,20,186,51,57,50,69,30,51,28,51,78,30,46,38,41,58,60,30,7,26,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
3,41,81,52,29,52,48,395,19,311,72,63,57,66,33,47,31,63,71,33,51,47,38,58,67,33,10,31,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
4,40,79,47,38,47,46,372,17,216,56,51,59,69,31,48,29,56,72,31,48,42,38,57,62,31,8,28,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
3,41,79,48,26,48,46,366,20,233,59,58,64,68,31,54,29,57,71,31,49,43,39,62,63,31,8,29,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,81,53,37,53,48,388,22,319,73,70,52,74,33,48,31,64,70,33,51,48,42,61,67,33,10,31,3,3,3,2,4,2,1,0,0,0,0,0,0,0,0,0,1,
6,38,79,47,26,47,46,402,20,219,56,67,50,56,31,54,29,56,68,31,48,42,40,63,63,31,8,28,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
3,39,80,48,33,48,47,377,22,236,59,56,51,80,31,54,30,58,72,32,49,43,42,60,64,32,9,29,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,78,46,35,46,45,393,20,191,52,66,60,70,30,52,28,52,70,30,47,39,41,61,60,30,7,27,3,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,80,51,31,51,47,359,20,280,67,57,65,73,32,52,30,61,71,32,50,46,42,60,65,32,9,30,2,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
2,38,80,49,34,49,47,417,20,255,63,67,61,51,32,52,30,59,70,32,50,44,38,58,64,32,9,30,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
5,41,79,46,31,46,46,390,19,201,53,51,67,76,30,49,29,54,65,31,48,40,43,61,61,31,8,28,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,80,52,30,52,47,367,20,303,71,64,58,58,33,47,30,62,72,32,51,47,39,63,66,32,9,31,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,
6,38,82,55,30,55,49,440,20,353,79,68,69,64,34,50,32,69,74,34,54,52,44,59,70,34,11,34,1,3,3,3,3,2,1,0,0,1,0,0,0,0,1,0,0,
5,41,81,54,40,54,48,362,20,341,77,66,50,69,34,52,31,66,62,33,52,50,37,59,69,33,10,32,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
6,40,79,46,27,46,46,387,20,205,54,66,56,66,31,52,29,55,69,31,48,41,43,60,62,31,8,28,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
4,38,83,55,37,55,50,394,21,360,80,58,56,77,34,54,33,74,74,35,56,56,42,60,74,35,12,36,3,4,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,
2,40,78,45,33,45,45,418,17,185,51,58,69,57,30,48,28,50,72,30,46,37,41,59,59,30,7,26,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
3,40,79,46,34,46,46,379,20,207,54,61,54,58,31,49,29,55,67,31,48,41,41,62,62,31,8,28,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
5,39,80,50,27,50,47,400,20,274,66,70,59,57,32,46,30,60,67,32,50,45,41,59,65,32,9,30,2,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
6,41,80,51,25,51,47,388,20,295,69,55,58,50,33,54,30,62,69,32,51,46,42,59,66,32,9,31,2,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
6,41,82,55,34,55,49,418,20,358,80,59,63,74,34,54,32,71,65,34,55,54,43,58,72,34,11,35,2,4,4,2,3,2,1,0,0,0,0,0,0,0,0,0,0,
2,39,80,51,33,51,47,441,20,284,67,61,51,50,32,54,30,61,68,32,50,46,42,58,66,32,9,30,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,
6,42,80,52,38,52,47,441,21,302,70,50,70,70,33,51,30,62,70,32,51,47,37,59,66,32,9,31,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
2,40,80,52,38,52,47,364,21,301,70,67,65,55,33,48,30,62,70,32,51,47,41,58,66,32,9,31,2,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,
6,41,80,49,33,49,47,374,19,245,61,66,51,80,31,51,30,58,68,32,49,44,41,63,64,32,9,29,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
5,42,81,54,37,54,48,404,20,345,77,62,57,76,34,46,31,67,69,33,53,50,40,58,69,33,10,33,3,3,3,2,3,2,1,0,1,0,1,0,1,0,1,0,1,
4,41,80,50,25,50,47,415,20,275,66,54,68,70,32,47,30,60,73,32,50,45,42,58,65,32,9,30,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
2,43,81,54,27,54,48,445,22,345,78,53,55,53,34,47,31,67,69,33,53,51,41,62,69,33,10,33,2,3,3,3,4,1,1,0,0,1,0,0,0,0,0,0,0,
2,39,79,48,32,48,46,446,19,231,58,66,53,78,31,49,29,57,72,31,49,43,39,63,63,31,8,29,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,
5,40,79,47,29,47,46,427,20,218,56,55,61,71,31,48,29,56,68,31,48,42,41,60,63,31,8,28,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,
5,40,80,50,37,50,47,417,19,265,64,53,52,66,32,47,30,60,72,32,50,45,40,64,65,32,9,30,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,81,53,28,53,48,383,20,325,74,61,52,51,33,54,31,64,75,33,52,48,38,59,68,33,10,32,2,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,
3,40,79,47,29,47,46,361,20,209,55,51,69,57,31,55,29,55,66,31,48,41,42,58,62,31,8,28,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
6,41,80,50,29,50,47,401,19,273,65,63,58,63,32,48,30,60,70,32,50,45,39,61,65,32,9,30,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
3,40,81,53,39,53,48,403,22,326,74,59,66,74,33,49,31,64,68,33,52,49,39,58,68,33,10,32,2,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
5,41,78,46,36,46,45,420,21,192,52,55,52,66,30,47,28,52,72,30,47,39,39,62,60,30,7,27,3,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
5,39,80,50,39,50,47,376,21,266,64,56,68,65,32,53,30,60,70,32,50,45,42,60,65,32,9,30,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
2,39,78,45,36,45,45,413,19,188,51,63,60,65,30,52,28,51,67,30,47,38,44,60,60,30,7,27,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,
2,40,81,54,34,54,48,445,22,343,77,60,69,77,34,53,31,66,73,33,53,50,41,60,69,33,10,33,2,3,3,3,4,1,1,0,0,1,0,0,0,0,0,0,0,
3,40,79,48,33,48,46,437,22,233,59,66,51,72,31,45,29,57,72,31,49,43,41,61,63,31,8,29,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
3,39,80,52,27,52,47,443,20,303,71,52,62,54,33,54,30,62,70,32,51,47,39,59,66,32,9,31,2,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
6,39,78,46,39,46,45,435,19,192,52,51,65,68,30,51,28,52,72,30,47,39,40,61,60,30,7,27,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,81,53,35,53,48,366,21,328,75,60,67,63,33,52,31,65,69,33,52,49,38,58,68,33,10,32,3,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,79,47,40,47,46,429,19,224,57,66,54,76,31,50,29,57,71,31,49,42,40,58,63,31,8,29,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
2,40,80,48,33,48,47,396,19,236,59,54,54,60,31,50,30,58,72,32,49,43,39,60,64,32,9,29,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,
2,39,80,50,26,50,47,438,20,269,65,70,68,69,32,53,30,60,65,32,50,45,42,58,65,32,9,30,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,
